n1,n2,n3,max_dis,n1_bin,n2_bin,n3_bin,gm12878_prob,k562_prob,n1_gene,n2_gene,n3_gene,n1_gm12878_h3k4me1_peak_num,n2_gm12878_h3k4me1_peak_num,n3_gm12878_h3k4me1_peak_num,n1_k562_h3k4me1_peak_num,n2_k562_h3k4me1_peak_num,n3_k562_h3k4me1_peak_num,GM12878_loop_num,K562_loop_num,GM12878_fithic2_loop_num,K562_fithic2_loop_num
3851,3864,3874,23,chr19_39255000-39260000,chr19_39320000-39325000,chr19_39370000-39375000,0.46212715,0.8963892,,LRFN1,,0,0,0,5,0,0,0,0,0.0,2.0
3690,3770,3787,97,chr19_38450000-38455000,chr19_38850000-38855000,chr19_38935000-38940000,0.23318115,0.7847334,,HNRNPL,,0,0,0,1,2,0,0,1,0.0,2.0
3842,3851,3859,17,chr19_39210000-39215000,chr19_39255000-39260000,chr19_39295000-39300000,0.311398,0.68456155,,,IFNL1,0,0,0,0,5,0,0,0,0.0,2.0
3692,3765,3780,88,chr19_38460000-38465000,chr19_38825000-38830000,chr19_38900000-38905000,0.04698807,0.9839662,,,SIRT2,0,0,0,0,1,0,0,0,0.0,2.0
442,447,464,22,chr19_42210000-42215000,chr19_42235000-42240000,chr19_42320000-42325000,0.40067,0.9764717,,,MEGF8,0,0,0,1,0,1,0,0,0.0,2.0
828,911,934,106,chr19_44140000-44145000,chr19_44555000-44560000,chr19_44670000-44675000,0.011783415,0.71887666,ZNF234,,,0,0,0,1,0,0,0,0,0.0,2.0
1273,1282,1302,29,chr19_46365000-46370000,chr19_46410000-46415000,chr19_46510000-46515000,0.13172035,0.7183311,,CCDC8,,0,0,0,0,6,0,0,0,0.0,2.0
1484,1499,1541,57,chr19_47420000-47425000,chr19_47495000-47500000,chr19_47705000-47710000,0.08510101,0.79898995,MEIS3,,,0,0,0,0,2,0,0,0,0.0,2.0
1766,1799,1808,42,chr19_48830000-48835000,chr19_48995000-49000000,chr19_49040000-49045000,0.15895407,0.7150788,,,CGB5,0,0,0,3,0,0,0,0,0.0,2.0
1600,1608,1653,53,chr19_48000000-48005000,chr19_48040000-48045000,chr19_48265000-48270000,0.1344375,0.64618367,,,ZNF114,0,0,0,0,1,0,0,0,0.0,2.0
2185,2193,2200,15,chr19_50925000-50930000,chr19_50965000-50970000,chr19_51000000-51005000,0.0874405,0.75120866,,,KLK8,0,0,0,0,0,2,0,0,0.0,2.0
2228,2253,2347,119,chr19_51140000-51145000,chr19_51265000-51270000,chr19_51735000-51740000,0.01171558,0.7111847,SIGLEC7,,,0,0,0,0,0,2,0,0,0.0,2.0
2088,2144,2170,82,chr19_50440000-50445000,chr19_50720000-50725000,chr19_50850000-50855000,0.22341141,0.5625248,,SHANK1;CLEC11A,KLK3,0,0,0,0,1,0,0,0,0.0,2.0
2108,2197,2213,105,chr19_50540000-50545000,chr19_50985000-50990000,chr19_51065000-51070000,0.11170003,0.90308905,,KLK7,KLK13,0,0,0,0,0,1,0,0,0.0,2.0
2993,3008,3062,69,chr19_54965000-54970000,chr19_55040000-55045000,chr19_55310000-55315000,0.056254264,0.9888659,NLRP7,,,0,0,0,0,4,1,0,1,0.0,2.0
2918,3014,3080,162,chr19_54590000-54595000,chr19_55070000-55075000,chr19_55400000-55405000,0.027712459,0.98868227,LILRA1,EPS8L1;RDH13,,0,0,0,0,2,0,0,0,0.0,2.0
2928,3014,3087,159,chr19_54640000-54645000,chr19_55070000-55075000,chr19_55435000-55440000,0.024803149,0.66858643,LILRB4,EPS8L1;RDH13,,0,0,0,0,2,0,0,0,0.0,2.0
3033,3080,3099,66,chr19_55165000-55170000,chr19_55400000-55405000,chr19_55495000-55500000,0.022165433,0.5144117,DNAAF3,,,0,0,0,0,0,1,0,0,0.0,2.0
2982,3134,3161,179,chr19_54910000-54915000,chr19_55670000-55675000,chr19_55805000-55810000,0.0109410575,0.50250685,,EPN1,,0,0,0,0,3,1,0,0,0.0,2.0
85,135,146,61,chr20_425000-430000,chr20_675000-680000,chr20_730000-735000,0.034896098,0.9371936,,RP5-850E9.3;SCRT2,,0,0,0,0,1,0,0,0,0.0,2.0
542,610,648,106,chr20_22710000-22715000,chr20_23050000-23055000,chr20_23240000-23245000,0.287277,0.97617763,,THBD,,0,0,0,0,1,0,0,0,0.0,2.0
3118,3135,3199,81,chr20_35590000-35595000,chr20_35675000-35680000,chr20_35995000-36000000,0.14780602,0.94592524,,RP1-309K20.6,,0,0,0,0,0,1,0,0,0.0,2.0
2996,3045,3053,57,chr20_34980000-34985000,chr20_35225000-35230000,chr20_35265000-35270000,0.097416036,0.808579,,MMP24,,0,0,0,1,0,0,0,0,0.0,3.0
3247,3269,3275,28,chr20_36235000-36240000,chr20_36345000-36350000,chr20_36375000-36380000,0.058942236,0.56464964,AAR2,,,0,0,0,2,0,0,0,0,0.0,2.0
925,961,979,54,chr21_44625000-44630000,chr21_44805000-44810000,chr21_44895000-44900000,0.05708977,0.9822741,KRTAP10-9,,,0,0,0,0,0,1,0,0,0.0,2.0
898,942,952,54,chr21_44490000-44495000,chr21_44710000-44715000,chr21_44760000-44765000,0.15963355,0.9344441,,TSPEAR,,0,0,0,0,0,1,0,0,0.0,2.0
1014,1052,1079,65,chr21_45070000-45075000,chr21_45260000-45265000,chr21_45395000-45400000,0.023192015,0.8055301,ADARB1,,,0,0,0,2,0,1,0,0,0.0,2.0
987,1028,1166,179,chr21_44935000-44940000,chr21_45140000-45145000,chr21_45830000-45835000,0.15609367,0.66655153,FAM207A,,,0,0,0,1,1,0,0,0,0.0,2.0
952,987,1029,77,chr21_44760000-44765000,chr21_44935000-44940000,chr21_45145000-45150000,0.011204873,0.95918685,,FAM207A,,0,0,0,1,1,1,0,0,0.0,2.0
897,987,1029,132,chr21_44485000-44490000,chr21_44935000-44940000,chr21_45145000-45150000,0.028937781,0.98872185,,FAM207A,,0,0,0,0,1,1,0,0,0.0,2.0
919,1011,1190,271,chr21_44595000-44600000,chr21_45055000-45060000,chr21_45950000-45955000,0.22940257,0.86011195,KRTAP10-7,,,0,0,0,1,0,0,0,0,0.0,2.0
1265,1289,1315,50,chr21_46325000-46330000,chr21_46445000-46450000,chr21_46575000-46580000,0.036751382,0.65893537,AP000471.4,,,0,0,0,1,0,0,0,0,0.0,2.0
1228,1326,1332,104,chr21_46140000-46145000,chr21_46630000-46635000,chr21_46660000-46665000,0.044477046,0.87280095,,PRMT2,,0,0,0,1,1,0,0,0,0.0,2.0
1238,1257,1319,81,chr21_46190000-46195000,chr21_46285000-46290000,chr21_46595000-46600000,0.039575636,0.91355795,,YBEY;MCM3AP,,0,0,0,4,2,1,0,0,0.0,2.0
1228,1317,1326,98,chr21_46140000-46145000,chr21_46585000-46590000,chr21_46630000-46635000,0.037372544,0.9773127,,,PRMT2,0,0,0,1,0,1,0,0,0.0,2.0
1229,1308,1326,97,chr21_46145000-46150000,chr21_46540000-46545000,chr21_46630000-46635000,0.020710962,0.52714133,,,PRMT2,0,0,0,0,0,1,0,0,0.0,2.0
1247,1326,1335,88,chr21_46235000-46240000,chr21_46630000-46635000,chr21_46675000-46680000,0.14724098,0.7220229,,PRMT2,,0,0,0,0,1,2,0,0,0.0,2.0
1257,1309,1333,76,chr21_46285000-46290000,chr21_46545000-46550000,chr21_46665000-46670000,0.25059614,0.6807274,YBEY;MCM3AP,,,0,0,0,2,0,0,0,0,0.0,2.0
1265,1283,1331,66,chr21_46325000-46330000,chr21_46415000-46420000,chr21_46655000-46660000,0.24396235,0.6946839,AP000471.4,,,0,0,0,1,0,0,0,0,0.0,2.0
1231,1236,1242,11,chr21_46155000-46160000,chr21_46180000-46185000,chr21_46210000-46215000,0.2434883,0.75006884,FTCD,,,0,0,0,0,2,0,0,0,0.0,2.0
1257,1266,1277,20,chr21_46285000-46290000,chr21_46330000-46335000,chr21_46385000-46390000,0.29410103,0.971981,YBEY;MCM3AP,,,0,0,0,2,0,0,0,0,0.0,2.0
224,276,308,84,chr22_21120000-21125000,chr22_21380000-21385000,chr22_21540000-21545000,0.011811879,0.97219783,,RIMBP3B,,0,0,0,0,0,1,0,0,0.0,2.0
2081,2096,2133,52,chr22_30405000-30410000,chr22_30480000-30485000,chr22_30665000-30670000,0.019910118,0.9132942,RP4-539M6.19,,DUSP18,0,0,0,1,0,1,0,0,0.0,2.0
3681,3693,3735,54,chr22_38405000-38410000,chr22_38465000-38470000,chr22_38675000-38680000,0.13726561,0.93245214,,KDELR3,,0,0,0,0,1,1,0,0,0.0,2.0
246,267,273,27,chr22_41230000-41235000,chr22_41335000-41340000,chr22_41365000-41370000,0.04965254,0.98953056,,,TEF,0,0,0,0,0,3,0,0,0.0,2.0
530,613,642,112,chr22_42650000-42655000,chr22_43065000-43070000,chr22_43210000-43215000,0.056835856,0.86541325,CYB5R3,,,0,0,0,0,0,1,0,0,0.0,2.0
2065,2074,2087,22,chr22_50325000-50330000,chr22_50370000-50375000,chr22_50435000-50440000,0.012219051,0.9826484,DENND6B,,,0,0,0,1,0,0,0,0,0.0,2.0
2028,2112,2138,110,chr22_50140000-50145000,chr22_50560000-50565000,chr22_50690000-50695000,0.038667228,0.98499066,,SYCE3,,0,0,0,1,0,0,0,0,0.0,2.0
2033,2111,2128,95,chr22_50165000-50170000,chr22_50555000-50560000,chr22_50640000-50645000,0.07597089,0.94631326,PANX2,,,0,0,0,1,0,0,0,0,0.0,2.0
